responseid,gender,age,location,set,block,consent,domain,counts,obj1,obj2,obj3,obj4,obj5,obj1_text,obj2_text,obj3_text,obj4_text,obj5_text,choice,expdur,intdur,feedback
6,2,27,10,23,214,1,1,2,1,5,,,,Tom Hanks,Christian Bale,,,,1,4000,9.95,
6,2,27,10,24,214,1,13,2,1,2,,,,http://choicestudies.com/img/Surveys/montreal/impressionist/1.jpg,http://choicestudies.com/img/Surveys/montreal/impressionist/2.jpg,,,,1,11000,9.95,
6,2,27,10,25,214,1,10,3,3,2,5,,,"Classic Hits (Rock and pop, roughly 1964-1989)","Hot Adult Contemporary, or Hot AC (A variety of classic and contemporary mainstream music geared towards adults.)","Adult Contemporary, or AC (Adult-oriented pop/rock with no hard rock.)",,,2,10000,9.95,
6,2,27,10,26,214,1,7,2,2,4,,,,Purple,Blue,,,,2,6000,9.95,
6,2,27,10,27,214,1,21,2,2,3,,,,United States of America,China,,,,2,12000,9.95,
6,2,27,10,28,214,1,26,2,4,2,,,,$315 credited to your bank account in two years,$245 credited to your bank account in six months,,,,2,39000,9.95,
6,2,27,10,29,214,1,24,3,4,5,2,,,7,22,22,,,2,20000,9.95,
6,2,27,10,30,214,1,5,3,4,5,3,,,"Bacon, white onion, mozzarella, parmesan, fresh cream, tomato sauce, ground pepper","Mushrooms, green pepper, mozzarella, tomato sauce","Red onion, tomato sauce, feta, mozzarella, olive oil, Greek spices, tomato sauce",,,1,9000,9.95,
6,2,27,10,31,214,1,11,2,4,1,,,,Madonna,The Beatles,,,,1,4000,9.95,
6,2,27,10,32,214,1,25,3,5,1,3,,,2:30,4:00,3:15,,,3,19000,9.95,
7,1,35,8,1,655,1,29,2,5,3,,,,2:45,2:15,,,,1,107422,18.0667,Interesting survey.
7,1,35,8,2,655,1,6,3,2,1,3,,,Orange,Mango,Apple,,,2,72547,18.0667,Interesting survey.
7,1,35,8,3,655,1,20,2,1,4,,,,Indonesia,Nigeria,,,,1,5250,18.0667,Interesting survey.
7,1,35,8,4,655,1,4,2,3,2,,,,Tom Hanks and Brad Pitt,Scarlett Johansson and Brad Pitt,,,,2,10969,18.0667,Interesting survey.
7,1,35,8,5,655,1,2,2,5,3,,,,Julianne Moore,Kathy Bates,,,,1,5125,18.0667,Interesting survey.
7,1,35,8,6,655,1,23,4,4,1,5,2,,55,60,75,80,,2,153616,18.0667,Interesting survey.
7,1,35,8,7,655,1,7,4,2,4,3,1,,Purple,Blue,Pink,Red,,2,26312,18.0667,Interesting survey.
7,1,35,8,8,655,1,11,2,3,5,,,,Michael Jackson,Elton John,,,,1,5922,18.0667,Interesting survey.
7,1,35,8,9,655,1,9,3,1,5,4,,,Scotland becomes an independent country,Either Scotland or Quebec become independent countries,Scotland and Quebec become independent countries,,,2,4375,18.0667,Interesting survey.
7,1,35,8,10,655,1,8,4,5,1,2,4,,Blue and purple,Black and red,Black and purple,Blue and red,,1,68015,18.0667,Interesting survey.
7,1,35,8,11,655,1,14,2,4,3,,,,Which man do you wonder when to meet?,Where did Bill buy the car to drive?,,,,1,265673,18.0667,Interesting survey.
7,1,35,8,12,655,1,18,5,4,5,3,1,2,http://choicestudies.com/img/Surveys/montreal/scatterplot/4.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/5.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/3.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/1.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/2.png,5,10759,18.0667,Interesting survey.
7,1,35,8,13,655,1,5,2,4,3,,,,"Bacon, white onion, mozzarella, parmesan, fresh cream, tomato sauce, ground pepper","Red onion, tomato sauce, feta, mozzarella, olive oil, Greek spices, tomato sauce",,,,1,10610,18.0667,Interesting survey.
7,1,35,8,14,655,1,16,4,1,5,2,3,,"Possession by, and sales to, adults would be both legal; sales to minors would be a criminal offence","Possession and sales would be criminal offenses, without exception","Possession by, and sales to, adults would be both illegal but neither would be a criminal offense; sales to minors would be a criminal offence",Possession would be illegal but not criminal; all sales would be a criminal offense,,1,3797,18.0667,Interesting survey.
7,1,35,8,15,655,1,3,3,4,5,3,,,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,"Identical twins, separated at birth and each raised by one of their biological parents, discover each other for the first time at summer camp and make a plan to bring their wayward parents back together.","The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",,,2,43640,18.0667,Interesting survey.
7,1,35,8,16,655,1,30,5,2,3,5,1,4,Insignia,Sony,Toshiba,Sharp,Samsung,4,8328,18.0667,Interesting survey.
7,1,35,8,17,655,1,24,2,3,5,,,,19,22,,,,1,90282,18.0667,Interesting survey.
7,1,35,8,18,655,1,13,2,3,5,,,,http://choicestudies.com/img/Surveys/montreal/impressionist/3.jpg,http://choicestudies.com/img/Surveys/montreal/impressionist/5.jpg,,,,2,16651,18.0667,Interesting survey.
7,1,35,8,19,655,1,1,2,3,4,,,,Morgan Freeman,Leonardo DiCaprio,,,,2,8234,18.0667,Interesting survey.
7,1,35,8,20,655,1,12,3,4,2,1,,,http://choicestudies.com/img/Surveys/montreal/aboriginal/4.png,http://choicestudies.com/img/Surveys/montreal/aboriginal/2.png,http://choicestudies.com/img/Surveys/montreal/aboriginal/1.png,,,3,8672,18.0667,Interesting survey.
7,1,35,8,21,655,1,15,4,5,2,1,3,,http://choicestudies.com/img/Surveys/montreal/travel/5.jpg,http://choicestudies.com/img/Surveys/montreal/travel/2.jpg,http://choicestudies.com/img/Surveys/montreal/travel/1.jpg,http://choicestudies.com/img/Surveys/montreal/travel/3.jpg,,1,7761,18.0667,Interesting survey.
7,1,35,8,22,655,1,28,4,5,4,2,3,,"4.8/5 stars, $406 per night","4.4/5 stars, $358 per night","3.9/5 stars, $263 per night","4.2/5 stars, $311 per night",,2,16656,18.0667,Interesting survey.
7,1,35,8,23,655,1,10,2,1,3,,,,News,"Classic Hits (Rock and pop, roughly 1964-1989)",,,,1,5625,18.0667,Interesting survey.
7,1,35,8,24,655,1,22,3,5,2,3,,,$15.00,$13.00,$15.00,,,2,5250,18.0667,Interesting survey.
7,1,35,8,25,655,1,32,4,4,3,1,2,,10,35,90,35,,2,4516,18.0667,Interesting survey.
7,1,35,8,26,655,1,21,2,4,3,,,,Brazil,China,,,,1,14390,18.0667,Interesting survey.
7,1,35,8,27,655,1,17,2,5,3,,,,"Seattle, United States","Vancouver, Canada",,,,2,11609,18.0667,Interesting survey.
7,1,35,8,28,655,1,26,2,1,2,,,,$200 credited to your bank account immediately,$245 credited to your bank account in six months,,,,1,19297,18.0667,Interesting survey.
7,1,35,8,29,655,1,27,3,2,4,1,,,"2GB data per month, $45 per month","6GB data per month, $54 per month","1GB data per month, $35 per month",,,2,8375,18.0667,Interesting survey.
7,1,35,8,30,655,1,31,3,4,5,3,,,12.35,13.46,13.72,,,2,12688,18.0667,Interesting survey.
7,1,35,8,31,655,1,25,3,3,2,1,,,3:15,3:24,4:00,,,2,3656,18.0667,Interesting survey.
7,1,35,8,32,655,1,19,4,5,2,1,3,,http://choicestudies.com/img/Surveys/montreal/triangles/5.png,http://choicestudies.com/img/Surveys/montreal/triangles/2.png,http://choicestudies.com/img/Surveys/montreal/triangles/1.png,http://choicestudies.com/img/Surveys/montreal/triangles/3.png,,3,10474,18.0667,Interesting survey.
8,2,38,2,1,274,1,25,4,5,3,4,1,,2:30,3:15,3:06,4:00,,4,24437,112.9833,
8,2,38,2,2,274,1,11,2,2,4,,,,Elvis Presley,Madonna,,,,1,4516,112.9833,
8,2,38,2,3,274,1,1,3,5,1,3,,,Christian Bale,Tom Hanks,Morgan Freeman,,,2,3422,112.9833,
8,2,38,2,4,274,1,18,2,3,1,,,,http://choicestudies.com/img/Surveys/montreal/scatterplot/3.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/1.png,,,,1,12046,112.9833,
8,2,38,2,5,274,1,21,4,4,5,1,3,,Brazil,Australia,Canada,China,,4,9704,112.9833,
8,2,38,2,6,274,1,4,3,4,5,1,,,Scarlett Johansson and Angelina Jolie,Tom Hanks and Angelina Jolie,Tom Hanks and Scarlett Johansson,,,2,4843,112.9833,
8,2,38,2,7,274,1,24,3,3,2,1,,,19,22,34,,,2,10812,112.9833,
8,2,38,2,8,274,1,12,2,3,4,,,,http://choicestudies.com/img/Surveys/montreal/aboriginal/3.png,http://choicestudies.com/img/Surveys/montreal/aboriginal/4.png,,,,1,5136,112.9833,
8,2,38,2,9,274,1,27,2,1,2,,,,"1GB data per month, $35 per month","2GB data per month, $45 per month",,,,2,5984,112.9833,
8,2,38,2,10,274,1,30,2,1,4,,,,Sharp,Samsung,,,,2,6235,112.9833,
8,2,38,2,11,274,1,20,3,5,1,3,,,Bangladesh,Indonesia,Pakistan,,,3,5562,112.9833,
8,2,38,2,12,274,1,28,3,4,2,5,,,"4.4/5 stars, $358 per night","3.9/5 stars, $263 per night","4.8/5 stars, $406 per night",,,2,7500,112.9833,
8,2,38,2,13,274,1,9,3,4,2,5,,,Scotland and Quebec become independent countries,Either Catalonia or Quebec become independent countries,Either Scotland or Quebec become independent countries,,,3,6390,112.9833,
8,2,38,2,14,274,1,13,4,3,4,1,5,,http://choicestudies.com/img/Surveys/montreal/impressionist/3.jpg,http://choicestudies.com/img/Surveys/montreal/impressionist/4.jpg,http://choicestudies.com/img/Surveys/montreal/impressionist/1.jpg,http://choicestudies.com/img/Surveys/montreal/impressionist/5.jpg,,3,5844,112.9833,
8,2,38,2,15,274,1,10,2,1,4,,,,News,Country Music,,,,2,4828,112.9833,
8,2,38,2,16,274,1,14,2,1,3,,,,Who did Bill buy the car to please?,Where did Bill buy the car to drive?,,,,2,10421,112.9833,
8,2,38,2,17,274,1,8,3,4,2,1,,,Blue and red,Black and purple,Black and red,,,2,6251,112.9833,
8,2,38,2,18,274,1,7,3,5,4,2,,,Green,Blue,Purple,,,3,4750,112.9833,
8,2,38,2,19,274,1,32,2,3,4,,,,35,10,,,,1,19390,112.9833,
8,2,38,2,20,274,1,15,2,1,5,,,,http://choicestudies.com/img/Surveys/montreal/travel/1.jpg,http://choicestudies.com/img/Surveys/montreal/travel/5.jpg,,,,1,4266,112.9833,
8,2,38,2,21,274,1,17,3,2,4,5,,,"London, United Kingdom","Paris, France","Seattle, United States",,,2,7469,112.9833,
8,2,38,2,22,274,1,6,2,3,4,,,,Apple,Grapefruit,,,,2,4140,112.9833,
8,2,38,2,23,274,1,23,2,3,1,,,,70,60,,,,1,9641,112.9833,
8,2,38,2,24,274,1,29,2,4,1,,,,1:30,1:30,,,,2,11407,112.9833,
8,2,38,2,25,274,1,2,5,3,4,2,5,1,Kathy Bates,Amy Adams,Jody Foster,Julianne Moore,Meryl Streep,3,4563,112.9833,
8,2,38,2,26,274,1,31,3,4,3,5,,,12.35,13.72,13.46,,,3,10687,112.9833,
8,2,38,2,27,274,1,5,2,3,5,,,,"Red onion, tomato sauce, feta, mozzarella, olive oil, Greek spices, tomato sauce","Mushrooms, green pepper, mozzarella, tomato sauce",,,,2,7625,112.9833,
8,2,38,2,28,274,1,16,3,3,5,4,,,Possession would be illegal but not criminal; all sales would be a criminal offense,"Possession and sales would be criminal offenses, without exception","Possession and sales would be criminal offenses, with a small number of medical exceptions",,,3,8579,112.9833,
8,2,38,2,29,274,1,3,3,1,3,4,,,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,,,2,10765,112.9833,
8,2,38,2,30,274,1,22,3,2,5,3,,,$13.00,$15.00,$15.00,,,2,11281,112.9833,
8,2,38,2,31,274,1,26,3,3,4,1,,,$255 credited to your bank account in one year,$315 credited to your bank account in two years,$200 credited to your bank account immediately,,,3,8406,112.9833,
8,2,38,2,32,274,1,19,3,3,1,4,,,http://choicestudies.com/img/Surveys/montreal/triangles/3.png,http://choicestudies.com/img/Surveys/montreal/triangles/1.png,http://choicestudies.com/img/Surveys/montreal/triangles/4.png,,,2,7964,112.9833,
9,2,41,2,1,339,1,21,3,5,4,2,,,Australia,Brazil,United States of America,,,2,59469,9.8167,
9,2,41,2,2,339,1,5,4,5,2,4,3,,"Mushrooms, green pepper, mozzarella, tomato sauce","Pepperoni, mushrooms, green pepper, mozzarella, tomato sauce","Bacon, white onion, mozzarella, parmesan, fresh cream, tomato sauce, ground pepper","Red onion, tomato sauce, feta, mozzarella, olive oil, Greek spices, tomato sauce",,4,13343,9.8167,
9,2,41,2,3,339,1,10,2,4,3,,,,Country Music,"Classic Hits (Rock and pop, roughly 1964-1989)",,,,2,9359,9.8167,
9,2,41,2,4,339,1,20,2,3,4,,,,Pakistan,Nigeria,,,,1,20938,9.8167,
9,2,41,2,5,339,1,31,3,5,3,4,,,13.46,13.72,12.35,,,2,24016,9.8167,
9,2,41,2,6,339,1,29,3,5,4,2,,,2:45,1:30,3:15,,,3,43359,9.8167,
9,2,41,2,7,339,1,7,4,1,5,2,4,,Red,Green,Purple,Blue,,3,4390,9.8167,
9,2,41,2,8,339,1,13,2,2,1,,,,http://choicestudies.com/img/Surveys/montreal/impressionist/2.jpg,http://choicestudies.com/img/Surveys/montreal/impressionist/1.jpg,,,,2,6271,9.8167,
9,2,41,2,9,339,1,32,2,1,4,,,,90,10,,,,1,19562,9.8167,
9,2,41,2,10,339,1,16,4,3,1,5,4,,Possession would be illegal but not criminal; all sales would be a criminal offense,"Possession by, and sales to, adults would be both legal; sales to minors would be a criminal offence","Possession and sales would be criminal offenses, without exception","Possession and sales would be criminal offenses, with a small number of medical exceptions",,2,20235,9.8167,
9,2,41,2,11,339,1,17,3,2,1,3,,,"London, United Kingdom","Warsaw, Poland","Vancouver, Canada",,,2,20984,9.8167,
9,2,41,2,12,339,1,6,4,2,3,5,4,,Orange,Apple,Pineapple,Grapefruit,,3,5531,9.8167,
9,2,41,2,13,339,1,24,2,5,4,,,,22,7,,,,2,17313,9.8167,
9,2,41,2,14,339,1,3,2,1,2,,,,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","Mathilda, a 12-year-old girl, is reluctantly taken in by L&eacute;on, a professional assassin, after her family is murdered. L&eacute;on and Mathilda form an unusual relationship, as she becomes his prot&eacute;g&eacute; and learns the assassin's trade.",,,,2,20000,9.8167,
9,2,41,2,15,339,1,19,3,1,4,3,,,http://choicestudies.com/img/Surveys/montreal/triangles/1.png,http://choicestudies.com/img/Surveys/montreal/triangles/4.png,http://choicestudies.com/img/Surveys/montreal/triangles/3.png,,,1,14469,9.8167,
9,2,41,2,16,339,1,28,3,3,5,2,,,"4.2/5 stars, $311 per night","4.8/5 stars, $406 per night","3.9/5 stars, $263 per night",,,3,17344,9.8167,
9,2,41,2,17,339,1,18,2,1,5,,,,http://choicestudies.com/img/Surveys/montreal/scatterplot/1.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/5.png,,,,1,8116,9.8167,
9,2,41,2,18,339,1,23,3,5,1,2,,,75,60,80,,,1,22156,9.8167,
9,2,41,2,19,339,1,8,3,5,1,4,,,Blue and purple,Black and red,Blue and red,,,2,7703,9.8167,
9,2,41,2,20,339,1,26,3,1,2,3,,,$200 credited to your bank account immediately,$245 credited to your bank account in six months,$255 credited to your bank account in one year,,,1,11953,9.8167,
9,2,41,2,21,339,1,27,3,3,5,4,,,"4 GB data per month, $49 per month","8GB data per month, $58 per month","6GB data per month, $54 per month",,,2,20297,9.8167,
9,2,41,2,22,339,1,9,3,5,3,1,,,Either Scotland or Quebec become independent countries,Catalonia becomes an independent country,Scotland becomes an independent country,,,1,22375,9.8167,
9,2,41,2,23,339,1,30,2,2,1,,,,Insignia,Sharp,,,,2,14047,9.8167,
9,2,41,2,24,339,1,2,3,1,4,5,,,Meryl Streep,Amy Adams,Julianne Moore,,,2,6641,9.8167,
9,2,41,2,25,339,1,22,2,1,3,,,,$9.00,$15.00,,,,1,30094,9.8167,
9,2,41,2,26,339,1,4,3,5,1,2,,,Tom Hanks and Angelina Jolie,Tom Hanks and Scarlett Johansson,Scarlett Johansson and Brad Pitt,,,1,12750,9.8167,
9,2,41,2,27,339,1,12,4,4,5,2,1,,http://choicestudies.com/img/Surveys/montreal/aboriginal/4.png,http://choicestudies.com/img/Surveys/montreal/aboriginal/5.png,http://choicestudies.com/img/Surveys/montreal/aboriginal/2.png,http://choicestudies.com/img/Surveys/montreal/aboriginal/1.png,,4,6275,9.8167,
9,2,41,2,28,339,1,1,5,1,4,5,3,2,Tom Hanks,Leonardo DiCaprio,Christian Bale,Morgan Freeman,Kevin Spacey,2,12156,9.8167,
9,2,41,2,29,339,1,15,4,2,4,1,5,,http://choicestudies.com/img/Surveys/montreal/travel/2.jpg,http://choicestudies.com/img/Surveys/montreal/travel/4.jpg,http://choicestudies.com/img/Surveys/montreal/travel/1.jpg,http://choicestudies.com/img/Surveys/montreal/travel/5.jpg,,3,12084,9.8167,
9,2,41,2,30,339,1,25,3,2,1,5,,,3:24,4:00,2:30,,,2,36297,9.8167,
9,2,41,2,31,339,1,14,2,1,3,,,,Who did Bill buy the car to please?,Where did Bill buy the car to drive?,,,,2,10625,9.8167,
9,2,41,2,32,339,1,11,2,5,2,,,,Elton John,Elvis Presley,,,,1,3703,9.8167,
10,1,53,8,1,495,1,4,4,5,2,1,3,,Tom Hanks and Angelina Jolie,Scarlett Johansson and Brad Pitt,Tom Hanks and Scarlett Johansson,Tom Hanks and Brad Pitt,,2,42093,14.1833,
10,1,53,8,2,495,1,23,3,3,2,4,,,70,80,55,,,1,31454,14.1833,
10,1,53,8,3,495,1,29,2,2,4,,,,3:15,1:30,,,,1,31391,14.1833,
10,1,53,8,4,495,1,25,2,1,5,,,,4:00,2:30,,,,1,27016,14.1833,
10,1,53,8,5,495,1,13,3,3,5,1,,,http://choicestudies.com/img/Surveys/montreal/impressionist/3.jpg,http://choicestudies.com/img/Surveys/montreal/impressionist/5.jpg,http://choicestudies.com/img/Surveys/montreal/impressionist/1.jpg,,,2,18375,14.1833,
10,1,53,8,6,495,1,16,3,1,4,5,,,"Possession by, and sales to, adults would be both legal; sales to minors would be a criminal offence","Possession and sales would be criminal offenses, with a small number of medical exceptions","Possession and sales would be criminal offenses, without exception",,,1,17938,14.1833,
10,1,53,8,7,495,1,11,2,1,4,,,,The Beatles,Madonna,,,,2,7844,14.1833,
10,1,53,8,8,495,1,27,3,2,5,3,,,"2GB data per month, $45 per month","8GB data per month, $58 per month","4 GB data per month, $49 per month",,,3,22437,14.1833,
10,1,53,8,9,495,1,3,2,4,2,,,,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,"Mathilda, a 12-year-old girl, is reluctantly taken in by L&eacute;on, a professional assassin, after her family is murdered. L&eacute;on and Mathilda form an unusual relationship, as she becomes his prot&eacute;g&eacute; and learns the assassin's trade.",,,,2,36594,14.1833,
10,1,53,8,10,495,1,7,2,2,3,,,,Purple,Pink,,,,1,6875,14.1833,
10,1,53,8,11,495,1,31,2,1,2,,,,18.71,9.99,,,,1,23953,14.1833,
10,1,53,8,12,495,1,8,4,1,2,3,5,,Black and red,Black and purple,Black and blue,Blue and purple,,3,14172,14.1833,
10,1,53,8,13,495,1,5,2,4,2,,,,"Bacon, white onion, mozzarella, parmesan, fresh cream, tomato sauce, ground pepper","Pepperoni, mushrooms, green pepper, mozzarella, tomato sauce",,,,2,9281,14.1833,
10,1,53,8,14,495,1,10,3,2,1,3,,,"Hot Adult Contemporary, or Hot AC (A variety of classic and contemporary mainstream music geared towards adults.)",News,"Classic Hits (Rock and pop, roughly 1964-1989)",,,1,38969,14.1833,
10,1,53,8,15,495,1,22,3,4,3,1,,,$14.00,$15.00,$9.00,,,1,38156,14.1833,
10,1,53,8,16,495,1,21,4,3,5,1,4,,China,Australia,Canada,Brazil,,3,10266,14.1833,
10,1,53,8,17,495,1,15,3,4,2,1,,,http://choicestudies.com/img/Surveys/montreal/travel/4.jpg,http://choicestudies.com/img/Surveys/montreal/travel/2.jpg,http://choicestudies.com/img/Surveys/montreal/travel/1.jpg,,,3,11515,14.1833,
10,1,53,8,18,495,1,1,4,5,2,3,4,,Christian Bale,Kevin Spacey,Morgan Freeman,Leonardo DiCaprio,,3,9172,14.1833,
10,1,53,8,19,495,1,18,4,4,2,1,5,,http://choicestudies.com/img/Surveys/montreal/scatterplot/4.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/2.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/1.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/5.png,,3,12719,14.1833,
10,1,53,8,20,495,1,26,4,5,2,4,3,,$465 credited to your bank account in four years,$245 credited to your bank account in six months,$315 credited to your bank account in two years,$255 credited to your bank account in one year,,1,44828,14.1833,
10,1,53,8,21,495,1,9,2,5,2,,,,Either Scotland or Quebec become independent countries,Either Catalonia or Quebec become independent countries,,,,1,15844,14.1833,
10,1,53,8,22,495,1,6,5,4,3,5,1,2,Grapefruit,Apple,Pineapple,Mango,Orange,3,10750,14.1833,
10,1,53,8,23,495,1,24,4,3,4,5,2,,19,7,22,22,,4,32468,14.1833,
10,1,53,8,24,495,1,20,3,3,5,4,,,Pakistan,Bangladesh,Nigeria,,,1,10094,14.1833,
10,1,53,8,25,495,1,2,4,3,1,2,4,,Kathy Bates,Meryl Streep,Jody Foster,Amy Adams,,3,6000,14.1833,
10,1,53,8,26,495,1,12,2,1,2,,,,http://choicestudies.com/img/Surveys/montreal/aboriginal/1.png,http://choicestudies.com/img/Surveys/montreal/aboriginal/2.png,,,,1,13297,14.1833,
10,1,53,8,27,495,1,14,3,4,5,1,,,Which man do you wonder when to meet?,With which pen do you wonder what to write?,Who did Bill buy the car to please?,,,2,35438,14.1833,
10,1,53,8,28,495,1,30,3,2,3,4,,,Insignia,Sony,Samsung,,,3,34593,14.1833,
10,1,53,8,29,495,1,17,2,2,5,,,,"London, United Kingdom","Seattle, United States",,,,1,47730,14.1833,
10,1,53,8,30,495,1,28,5,2,4,5,3,1,"3.9/5 stars, $263 per night","4.4/5 stars, $358 per night","4.8/5 stars, $406 per night","4.2/5 stars, $311 per night","3.6/5 stars, $215 per night",5,36797,14.1833,
10,1,53,8,31,495,1,32,3,5,1,3,,,10,90,35,,,2,44692,14.1833,
10,1,53,8,32,495,1,19,2,1,3,,,,http://choicestudies.com/img/Surveys/montreal/triangles/1.png,http://choicestudies.com/img/Surveys/montreal/triangles/3.png,,,,1,30813,14.1833,
11,1,26,8,1,893,1,24,3,2,5,3,,,22,22,19,,,1,10234,6.3667,
11,1,26,8,2,893,1,16,4,5,2,4,1,,"Possession and sales would be criminal offenses, without exception","Possession by, and sales to, adults would be both illegal but neither would be a criminal offense; sales to minors would be a criminal offence","Possession and sales would be criminal offenses, with a small number of medical exceptions","Possession by, and sales to, adults would be both legal; sales to minors would be a criminal offence",,4,36719,6.3667,
11,1,26,8,3,893,1,1,3,5,4,3,,,Christian Bale,Leonardo DiCaprio,Morgan Freeman,,,2,8500,6.3667,
11,1,26,8,4,893,1,6,2,4,2,,,,Grapefruit,Orange,,,,1,5329,6.3667,
11,1,26,8,5,893,1,17,2,1,4,,,,"Warsaw, Poland","Paris, France",,,,2,7485,6.3667,
11,1,26,8,6,893,1,9,3,5,2,1,,,Either Scotland or Quebec become independent countries,Either Catalonia or Quebec become independent countries,Scotland becomes an independent country,,,3,12859,6.3667,
11,1,26,8,7,893,1,20,5,2,5,3,1,4,Brazil,Bangladesh,Pakistan,Indonesia,Nigeria,1,7234,6.3667,
11,1,26,8,8,893,1,21,3,4,5,2,,,Brazil,Australia,United States of America,,,1,5516,6.3667,
11,1,26,8,9,893,1,23,3,5,1,2,,,75,60,80,,,1,32891,6.3667,
11,1,26,8,10,893,1,4,2,1,4,,,,Tom Hanks and Scarlett Johansson,Scarlett Johansson and Angelina Jolie,,,,2,8640,6.3667,
11,1,26,8,11,893,1,25,2,5,3,,,,2:30,3:15,,,,2,12000,6.3667,
11,1,26,8,12,893,1,29,3,3,1,4,,,2:15,1:30,1:30,,,2,7250,6.3667,
