responseid,set,block,consent,domain,counts,obj1,obj2,obj3,obj4,obj5,obj1_text,obj2_text,obj3_text,obj4_text,obj5_text,choice,expdur,intdur,feedback
9,19,339,1,8,3,5,1,4,,,Blue and purple,Black and red,Blue and red,,,2,7703,9.8167,
9,20,339,1,26,3,1,2,3,,,$200 credited to your bank account immediately,$245 credited to your bank account in six months,$255 credited to your bank account in one year,,,1,11953,9.8167,
9,21,339,1,27,3,3,5,4,,,"4 GB data per month, $49 per month","8GB data per month, $58 per month","6GB data per month, $54 per month",,,2,20297,9.8167,
9,22,339,1,9,3,5,3,1,,,Either Scotland or Quebec become independent countries,Catalonia becomes an independent country,Scotland becomes an independent country,,,1,22375,9.8167,
9,23,339,1,30,2,2,1,,,,Insignia,Sharp,,,,2,14047,9.8167,
9,24,339,1,2,3,1,4,5,,,Meryl Streep,Amy Adams,Julianne Moore,,,2,6641,9.8167,
9,25,339,1,22,2,1,3,,,,$9.00,$15.00,,,,1,30094,9.8167,
9,26,339,1,4,3,5,1,2,,,Tom Hanks and Angelina Jolie,Tom Hanks and Scarlett Johansson,Scarlett Johansson and Brad Pitt,,,1,12750,9.8167,
9,27,339,1,12,4,4,5,2,1,,http://choicestudies.com/img/Surveys/montreal/aboriginal/4.png,http://choicestudies.com/img/Surveys/montreal/aboriginal/5.png,http://choicestudies.com/img/Surveys/montreal/aboriginal/2.png,http://choicestudies.com/img/Surveys/montreal/aboriginal/1.png,,4,6275,9.8167,
9,28,339,1,1,5,1,4,5,3,2,Tom Hanks,Leonardo DiCaprio,Christian Bale,Morgan Freeman,Kevin Spacey,2,12156,9.8167,
9,29,339,1,15,4,2,4,1,5,,http://choicestudies.com/img/Surveys/montreal/travel/2.jpg,http://choicestudies.com/img/Surveys/montreal/travel/4.jpg,http://choicestudies.com/img/Surveys/montreal/travel/1.jpg,http://choicestudies.com/img/Surveys/montreal/travel/5.jpg,,3,12084,9.8167,
9,30,339,1,25,3,2,1,5,,,3:24,4:00,2:30,,,2,36297,9.8167,
9,31,339,1,14,2,1,3,,,,Who did Bill buy the car to please?,Where did Bill buy the car to drive?,,,,2,10625,9.8167,
9,32,339,1,11,2,5,2,,,,Elton John,Elvis Presley,,,,1,3703,9.8167,
10,1,495,1,4,4,5,2,1,3,,Tom Hanks and Angelina Jolie,Scarlett Johansson and Brad Pitt,Tom Hanks and Scarlett Johansson,Tom Hanks and Brad Pitt,,2,42093,14.1833,
10,2,495,1,23,3,3,2,4,,,70,80,55,,,1,31454,14.1833,
10,3,495,1,29,2,2,4,,,,3:15,1:30,,,,1,31391,14.1833,
10,4,495,1,25,2,1,5,,,,4:00,2:30,,,,1,27016,14.1833,
10,5,495,1,13,3,3,5,1,,,http://choicestudies.com/img/Surveys/montreal/impressionist/3.jpg,http://choicestudies.com/img/Surveys/montreal/impressionist/5.jpg,http://choicestudies.com/img/Surveys/montreal/impressionist/1.jpg,,,2,18375,14.1833,
10,6,495,1,16,3,1,4,5,,,"Possession by, and sales to, adults would be both legal; sales to minors would be a criminal offence","Possession and sales would be criminal offenses, with a small number of medical exceptions","Possession and sales would be criminal offenses, without exception",,,1,17938,14.1833,
10,7,495,1,11,2,1,4,,,,The Beatles,Madonna,,,,2,7844,14.1833,
10,8,495,1,27,3,2,5,3,,,"2GB data per month, $45 per month","8GB data per month, $58 per month","4 GB data per month, $49 per month",,,3,22437,14.1833,
10,9,495,1,3,2,4,2,,,,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,"Mathilda, a 12-year-old girl, is reluctantly taken in by L&eacute;on, a professional assassin, after her family is murdered. L&eacute;on and Mathilda form an unusual relationship, as she becomes his prot&eacute;g&eacute; and learns the assassin's trade.",,,,2,36594,14.1833,
10,10,495,1,7,2,2,3,,,,Purple,Pink,,,,1,6875,14.1833,
10,11,495,1,31,2,1,2,,,,18.71,9.99,,,,1,23953,14.1833,
10,12,495,1,8,4,1,2,3,5,,Black and red,Black and purple,Black and blue,Blue and purple,,3,14172,14.1833,
10,13,495,1,5,2,4,2,,,,"Bacon, white onion, mozzarella, parmesan, fresh cream, tomato sauce, ground pepper","Pepperoni, mushrooms, green pepper, mozzarella, tomato sauce",,,,2,9281,14.1833,
10,14,495,1,10,3,2,1,3,,,"Hot Adult Contemporary, or Hot AC (A variety of classic and contemporary mainstream music geared towards adults.)",News,"Classic Hits (Rock and pop, roughly 1964-1989)",,,1,38969,14.1833,
10,15,495,1,22,3,4,3,1,,,$14.00,$15.00,$9.00,,,1,38156,14.1833,
10,16,495,1,21,4,3,5,1,4,,China,Australia,Canada,Brazil,,3,10266,14.1833,
10,17,495,1,15,3,4,2,1,,,http://choicestudies.com/img/Surveys/montreal/travel/4.jpg,http://choicestudies.com/img/Surveys/montreal/travel/2.jpg,http://choicestudies.com/img/Surveys/montreal/travel/1.jpg,,,3,11515,14.1833,
